Indice,Temperatura
0,-99.98
1,-99.85
2,-99.64
3,-99.57
4,-99.55
5,-99.51
6,-99.49
7,-99.24
8,-98.85
9,-98.00
10,-97.83
11,-97.36
12,-97.24
13,-96.78
14,-96.59
15,-96.35
16,-96.23
17,-95.92
18,-95.86
19,-95.36
20,-95.28
21,-94.71
22,-94.51
23,-94.48
24,-94.34
25,-94.18
26,-94.17
27,-93.95
28,-93.79
29,-93.76
30,-93.47
31,-93.43
32,-93.18
33,-93.08
34,-93.00
35,-93.00
36,-92.79
37,-92.72
38,-92.71
39,-92.68
40,-92.64
41,-92.57
42,-92.14
43,-91.91
44,-91.66
45,-91.20
46,-91.15
47,-90.86
48,-90.21
49,-89.56
50,-89.36
51,-89.08
52,-88.99
53,-88.96
54,-88.90
55,-88.84
56,-88.72
57,-88.43
58,-88.41
59,-87.94
60,-87.62
61,-87.54
62,-87.45
63,-87.03
64,-86.95
65,-86.75
66,-86.65
67,-86.43
68,-86.33
69,-86.27
70,-86.10
71,-85.78
72,-85.19
73,-84.53
74,-84.47
75,-84.37
76,-83.77
77,-83.68
78,-83.36
79,-83.16
80,-83.11
81,-83.06
82,-82.80
83,-82.58
84,-82.16
85,-82.09
86,-82.01
87,-81.83
88,-81.69
89,-81.44
90,-80.98
91,-80.97
92,-80.84
93,-80.59
94,-80.37
95,-80.26
96,-79.79
97,-79.39
98,-79.18
99,-79.15
100,-78.98
101,-78.82
102,-78.43
103,-78.08
104,-77.79
105,-77.58
106,-77.51
107,-77.42
108,-77.34
109,-76.94
110,-76.90
111,-76.31
112,-75.20
113,-75.12
114,-74.93
115,-74.90
116,-74.82
117,-74.73
118,-74.71
119,-74.58
120,-74.51
121,-74.11
122,-74.11
123,-74.03
124,-73.82
125,-73.31
126,-73.17
127,-73.06
128,-72.84
129,-72.71
130,-72.47
131,-72.34
132,-72.30
133,-72.17
134,-72.05
135,-71.71
136,-71.67
137,-71.22
138,-71.14
139,-71.04
140,-70.48
141,-70.32
142,-70.31
143,-70.30
144,-70.03
145,-69.95
146,-69.94
147,-69.91
148,-69.91
149,-69.83
150,-69.66
151,-68.98
152,-68.65
153,-68.52
154,-68.50
155,-67.73
156,-66.97
157,-66.90
158,-66.60
159,-66.49
160,-66.38
161,-66.26
162,-66.18
163,-65.66
164,-65.52
165,-65.40
166,-65.27
167,-64.66
