Indice,Temperatura
0,-99.95
1,-98.33
2,-98.10
3,-98.01
4,-97.98
5,-96.80
6,-96.80
7,-96.74
8,-96.33
9,-95.87
10,-95.77
11,-95.70
12,-95.68
13,-95.36
14,-95.09
15,-95.02
16,-94.92
17,-94.72
18,-94.69
19,-94.68
20,-94.63
21,-94.43
22,-94.33
23,-93.97
24,-93.65
25,-93.17
26,-92.92
27,-92.79
28,-92.67
29,-92.47
30,-92.03
31,-91.98
32,-91.88
33,-91.81
34,-91.78
35,-91.22
36,-91.09
37,-90.99
38,-90.28
39,-90.05
40,-90.00
41,-89.67
42,-88.98
43,-88.81
44,-88.59
45,-88.55
46,-88.32
47,-88.00
48,-87.86
49,-87.19
50,-87.08
51,-86.99
52,-86.65
53,-86.60
54,-86.10
55,-86.03
56,-86.03
57,-86.00
58,-85.46
59,-85.20
60,-84.85
61,-84.61
62,-84.51
63,-84.09
64,-83.50
65,-83.06
66,-82.88
67,-82.80
68,-82.73
69,-82.14
70,-82.03
71,-81.95
72,-81.72
73,-81.69
74,-81.46
75,-81.37
76,-81.34
77,-81.33
78,-81.23
79,-81.12
80,-81.07
81,-80.93
82,-80.68
83,-80.51
84,-80.19
85,-80.12
86,-79.82
87,-79.60
88,-79.52
89,-79.28
90,-78.97
91,-78.96
92,-78.64
93,-78.57
94,-78.56
95,-78.31
96,-78.07
97,-77.88
98,-77.64
99,-77.53
100,-77.29
101,-76.80
102,-76.43
103,-76.35
104,-76.33
105,-76.28
106,-76.17
107,-76.17
108,-75.99
109,-75.46
110,-75.41
111,-74.96
112,-74.79
113,-74.75
114,-74.44
115,-73.98
116,-73.55
117,-73.33
118,-73.30
119,-73.13
120,-72.93
121,-72.88
122,-72.53
123,-72.44
124,-72.21
125,-71.88
126,-71.73
127,-71.70
128,-71.61
129,-71.54
130,-71.39
131,-71.28
132,-70.96
133,-70.73
134,-70.49
135,-70.25
136,-70.21
137,-70.18
138,-69.45
139,-69.41
140,-69.37
141,-68.86
142,-68.64
143,-68.58
144,-68.52
145,-68.17
146,-67.93
147,-67.88
148,-67.53
149,-67.34
150,-67.21
151,-66.79
152,-66.67
153,-66.57
154,-64.92
155,-64.90
156,-64.79
157,-64.47
158,-64.43
159,-64.30
160,-64.25
161,-64.12
162,-63.98
163,-63.81
164,-62.69
165,-62.62
166,-62.55
167,-62.08
168,-61.84
169,-61.47
170,-61.45
171,-61.23
172,-60.79
173,-60.76
174,-60.71
175,-60.25
176,-59.96
177,-59.95
178,-59.75
179,-59.56
180,-59.49
181,-59.45
182,-59.28
183,-59.18
184,-59.18
185,-58.60
186,-58.54
187,-58.45
188,-58.32
189,-58.19
190,-58.09
191,-57.88
192,-57.86
193,-57.83
194,-57.10
195,-56.91
196,-56.89
197,-56.55
198,-56.20
199,-56.09
200,-55.93
201,-55.91
202,-55.86
203,-55.77
204,-55.71
205,-55.49
206,-55.45
207,-55.45
208,-55.34
209,-55.06
210,-55.02
211,-54.36
212,-54.11
213,-54.02
214,-53.93
215,-53.87
216,-53.82
217,-53.62
218,-53.40
219,-53.40
220,-53.31
221,-53.22
222,-53.14
223,-52.97
224,-52.90
225,-52.76
226,-52.68
227,-52.62
228,-52.46
229,-52.45
230,-51.34
231,-51.02
232,-50.98
233,-50.65
234,-50.55
235,-50.50
236,-50.45
237,-50.41
238,-50.23
239,-50.21
240,-50.13
241,-50.03
242,-49.95
243,-49.72
244,-49.55
245,-48.79
246,-48.74
247,-48.03
248,-47.85
249,-47.80
250,-47.79
251,-47.66
252,-47.65
253,-47.47
254,-46.71
255,-46.55
256,-46.28
257,-45.78
258,-45.67
259,-45.30
260,-45.08
261,-44.79
262,-44.59
263,-44.57
264,-44.56
265,-44.38
266,-44.18
267,-44.01
268,-43.99
269,-43.82
270,-43.68
271,-43.60
272,-43.52
273,-43.19
274,-42.94
275,-42.92
276,-42.78
277,-42.67
278,-42.54
279,-42.51
280,-42.33
281,-41.92
282,-41.91
283,-41.63
284,-41.36
285,-41.32
286,-40.89
287,-40.82
288,-40.65
289,-40.44
290,-40.28
291,-40.24
292,-40.19
293,-40.00
294,-39.92
295,-39.71
296,-38.59
297,-38.45
298,-38.40
299,-37.85
300,-37.71
301,-37.59
302,-37.19
303,-37.19
304,-36.94
305,-36.92
306,-36.92
307,-36.76
308,-36.48
309,-36.41
310,-36.19
311,-36.02
312,-35.82
313,-35.51
314,-35.38
315,-35.34
316,-35.21
317,-35.20
318,-35.18
319,-35.11
320,-35.02
321,-34.67
322,-34.19
323,-33.71
324,-33.68
325,-33.17
326,-32.75
327,-32.44
328,-32.29
329,-31.89
330,-31.80
331,-31.58
332,-31.57
333,-31.56
334,-31.38
335,-30.99
336,-30.96
337,-30.79
338,-30.52
339,-30.47
340,-30.37
341,-30.32
342,-30.08
343,-30.01
344,-29.88
345,-29.47
346,-29.38
347,-28.90
348,-28.78
349,-28.71
350,-28.30
351,-28.28
352,-28.23
353,-28.00
354,-27.77
355,-27.72
356,-27.30
357,-27.24
358,-27.00
359,-26.89
360,-26.73
361,-26.62
362,-26.60
363,-26.42
364,-26.13
365,-25.96
366,-25.70
367,-25.33
368,-24.91
369,-24.78
370,-24.73
371,-24.70
372,-24.59
373,-23.64
374,-22.97
375,-22.77
376,-22.63
377,-22.61
378,-22.48
379,-22.06
380,-21.93
381,-21.64
382,-21.18
383,-21.16
384,-20.92
385,-20.79
386,-20.23
387,-19.26
388,-19.04
389,-19.02
390,-18.50
391,-18.44
392,-18.41
393,-18.35
394,-18.23
395,-18.16
396,-17.92
397,-17.83
398,-17.76
399,-17.48
400,-16.79
401,-16.47
402,-16.37
403,-16.21
404,-16.10
405,-15.45
406,-15.40
407,-15.30
408,-14.98
409,-14.87
410,-14.82
411,-14.76
412,-14.50
413,-14.46
414,-14.29
415,-13.97
416,-13.65
417,-13.64
418,-13.48
419,-12.64
420,-12.49
421,-12.40
422,-12.26
423,-12.21
424,-11.78
425,-11.62
426,-11.49
427,-11.43
428,-11.27
429,-11.09
430,-11.07
431,-10.51
432,-10.48
433,-10.33
434,-10.08
435,-10.01
436,-9.99
437,-9.61
438,-9.25
439,-9.14
440,-9.01
441,-8.67
442,-8.47
443,-8.29
444,-8.04
445,-7.70
446,-7.29
447,-7.23
448,-6.98
449,-6.23
450,-6.22
451,-6.09
452,-5.86
453,-5.85
454,-5.78
455,-5.72
456,-5.70
457,-5.67
458,-5.41
459,-5.27
460,-5.22
461,-5.00
462,-4.77
463,-4.68
464,-4.34
465,-4.21
466,-3.88
467,-3.00
468,-2.98
469,-2.87
470,-2.70
471,-1.99
472,-1.15
473,-0.73
474,-0.65
475,-0.53
