Indice,Temperatura
0,-100.00
1,-100.00
2,-99.99
3,-99.98
4,-99.97
5,-99.96
6,-99.95
7,-99.94
8,-99.94
9,-99.94
10,-99.94
11,-99.94
12,-99.93
13,-99.93
14,-99.92
15,-99.92
16,-99.91
17,-99.90
18,-99.90
19,-99.90
20,-99.89
21,-99.86
22,-99.85
23,-99.85
24,-99.84
25,-99.84
26,-99.83
27,-99.79
28,-99.79
29,-99.78
30,-99.77
31,-99.77
32,-99.76
33,-99.76
34,-99.76
35,-99.76
36,-99.74
37,-99.74
38,-99.74
39,-99.73
40,-99.71
41,-99.69
42,-99.69
43,-99.69
44,-99.69
45,-99.68
46,-99.68
47,-99.66
48,-99.66
49,-99.65
50,-99.64
51,-99.64
52,-99.63
53,-99.62
54,-99.60
55,-99.60
56,-99.60
57,-99.60
58,-99.59
59,-99.57
60,-99.57
61,-99.55
62,-99.53
63,-99.50
64,-99.49
65,-99.49
66,-99.45
67,-99.44
68,-99.43
69,-99.43
70,-99.42
71,-99.41
72,-99.40
73,-99.40
74,-99.40
75,-99.40
76,-99.40
77,-99.38
78,-99.38
79,-99.38
80,-99.37
81,-99.37
82,-99.36
83,-99.33
84,-99.32
85,-99.32
86,-99.32
87,-99.31
88,-99.31
89,-99.31
90,-99.31
91,-99.30
92,-99.28
93,-99.27
94,-99.27
95,-99.26
96,-99.25
97,-99.22
98,-99.20
99,-99.18
100,-99.17
101,-99.16
102,-99.14
103,-99.14
104,-99.13
105,-99.13
106,-99.12
107,-99.11
108,-99.10
109,-99.10
110,-99.09
111,-99.07
112,-99.06
113,-99.05
114,-99.03
115,-99.02
116,-99.02
117,-99.01
118,-99.01
119,-98.99
120,-98.97
121,-98.95
122,-98.94
123,-98.93
124,-98.92
125,-98.92
126,-98.89
127,-98.87
128,-98.86
129,-98.85
130,-98.84
131,-98.83
132,-98.82
133,-98.81
134,-98.79
135,-98.79
136,-98.78
137,-98.77
138,-98.75
139,-98.73
140,-98.72
141,-98.70
142,-98.70
143,-98.70
144,-98.69
145,-98.68
146,-98.68
147,-98.65
148,-98.64
149,-98.62
150,-98.61
151,-98.61
152,-98.60
153,-98.59
154,-98.58
155,-98.57
156,-98.57
157,-98.57
158,-98.57
159,-98.56
160,-98.55
161,-98.55
162,-98.55
163,-98.55
164,-98.54
165,-98.53
166,-98.52
167,-98.50
168,-98.50
169,-98.50
170,-98.49
171,-98.49
172,-98.48
173,-98.46
174,-98.45
175,-98.42
176,-98.41
177,-98.40
178,-98.38
179,-98.37
180,-98.35
181,-98.34
182,-98.32
183,-98.30
184,-98.30
185,-98.27
186,-98.27
187,-98.27
188,-98.25
189,-98.24
190,-98.23
191,-98.22
192,-98.19
193,-98.19
194,-98.19
195,-98.18
196,-98.14
197,-98.10
198,-98.07
199,-98.07
200,-98.02
201,-98.02
202,-98.01
203,-98.00
204,-98.00
205,-97.98
206,-97.97
207,-97.97
208,-97.96
209,-97.95
210,-97.95
211,-97.94
212,-97.94
213,-97.94
214,-97.93
215,-97.93
216,-97.90
217,-97.90
218,-97.89
219,-97.89
220,-97.88
221,-97.88
222,-97.88
223,-97.87
224,-97.87
225,-97.86
226,-97.86
227,-97.85
228,-97.82
229,-97.80
230,-97.79
231,-97.79
232,-97.75
233,-97.75
234,-97.74
235,-97.71
236,-97.69
237,-97.69
238,-97.69
239,-97.69
240,-97.67
241,-97.66
242,-97.64
243,-97.63
244,-97.63
245,-97.61
246,-97.59
247,-97.59
248,-97.54
249,-97.54
250,-97.53
251,-97.52
252,-97.51
253,-97.51
254,-97.51
255,-97.48
256,-97.48
257,-97.44
258,-97.43
259,-97.43
260,-97.43
261,-97.42
262,-97.42
263,-97.41
264,-97.39
265,-97.39
266,-97.38
267,-97.38
268,-97.37
269,-97.36
270,-97.36
271,-97.35
272,-97.34
273,-97.34
274,-97.32
275,-97.31
276,-97.31
277,-97.31
278,-97.28
279,-97.27
280,-97.26
281,-97.26
282,-97.26
283,-97.24
284,-97.23
285,-97.23
286,-97.22
287,-97.22
288,-97.20
289,-97.19
290,-97.18
291,-97.18
292,-97.17
293,-97.17
294,-97.16
295,-97.16
296,-97.16
297,-97.15
298,-97.15
299,-97.13
300,-97.13
301,-97.12
302,-97.11
303,-97.11
304,-97.09
305,-97.09
306,-97.08
307,-97.08
308,-97.07
309,-97.07
310,-97.06
311,-97.04
312,-97.04
313,-97.04
314,-97.03
315,-97.03
316,-97.01
317,-96.99
318,-96.98
319,-96.97
320,-96.96
321,-96.96
322,-96.95
323,-96.95
324,-96.94
325,-96.92
326,-96.90
327,-96.89
328,-96.88
329,-96.88
330,-96.88
331,-96.85
332,-96.83
333,-96.81
334,-96.80
335,-96.80
336,-96.80
337,-96.79
338,-96.77
339,-96.76
340,-96.75
341,-96.74
342,-96.74
343,-96.73
344,-96.73
345,-96.72
346,-96.71
347,-96.68
348,-96.65
349,-96.62
350,-96.61
351,-96.60
352,-96.57
353,-96.57
354,-96.56
355,-96.55
356,-96.54
357,-96.54
358,-96.53
359,-96.52
360,-96.51
361,-96.49
362,-96.48
363,-96.47
364,-96.45
365,-96.45
366,-96.44
367,-96.42
368,-96.41
369,-96.40
370,-96.39
371,-96.39
372,-96.39
373,-96.38
374,-96.37
375,-96.36
376,-96.36
377,-96.34
378,-96.34
379,-96.34
380,-96.32
381,-96.32
382,-96.32
383,-96.31
384,-96.31
385,-96.30
386,-96.29
387,-96.28
388,-96.28
389,-96.27
390,-96.26
391,-96.25
392,-96.24
393,-96.23
394,-96.21
395,-96.19
396,-96.18
397,-96.15
398,-96.15
399,-96.14
400,-96.14
401,-96.12
402,-96.12
403,-96.11
404,-96.11
405,-96.09
406,-96.08
407,-96.04
408,-96.02
409,-96.02
410,-96.01
411,-96.00
412,-95.99
413,-95.99
414,-95.98
415,-95.97
416,-95.95
417,-95.94
418,-95.93
419,-95.93
420,-95.92
421,-95.88
422,-95.87
423,-95.85
424,-95.85
425,-95.84
426,-95.84
427,-95.83
428,-95.82
429,-95.82
430,-95.81
431,-95.81
432,-95.80
433,-95.78
434,-95.77
435,-95.76
436,-95.76
437,-95.74
438,-95.73
439,-95.73
440,-95.72
441,-95.71
442,-95.70
443,-95.69
444,-95.68
445,-95.67
446,-95.66
447,-95.66
448,-95.64
449,-95.63
450,-95.62
451,-95.60
452,-95.59
453,-95.54
454,-95.52
455,-95.52
456,-95.51
457,-95.51
458,-95.49
459,-95.49
460,-95.49
461,-95.47
462,-95.43
463,-95.43
464,-95.42
465,-95.40
466,-95.37
467,-95.37
468,-95.37
469,-95.36
470,-95.35
471,-95.35
472,-95.35
473,-95.34
474,-95.34
